,Title,Date_upload,Views,Likes,Month
0,V-TAPP 2024 Inauguration,2024-02-22,1243,21.0,Feb
1,V-TAPP 2024 Inauguration,2024-02-22,0,0.0,Feb
2,VIT-AP vs SRM-AP Football Finals - VITOPIA 2024 SPORTS,2024-02-21,3591,131.0,Feb
3,Are You Ready for This Year's VITOPIA? | VIT-AP University's Sports and Cultural Fest 2024,2024-02-19,3300,,Feb
4,VITOPIA 2024: Unleash the Excitement | Sports & Cultural Fest at VIT-AP University,2024-02-19,2963,,Feb
5,PAT-2025 Orientation,2024-02-18,745,17.0,Feb
6,PAT-2025 Orientation,2024-02-17,1380,43.0,Feb
7,Vasant Panchami - Maa Saraswati Puja,2024-02-15,595,20.0,Feb
8,Vasant Panchami - Maa Saraswati Puja,2024-02-14,413,13.0,Feb
9,Vasant Panchami - Maa Saraswati Puja,2024-02-14,821,43.0,Feb
10,"VIT AP - A VS VISHNU FINALS , VIT - AP UNIVERSITY",2024-02-02,2220,57.0,Feb
11,"VIT AP - A VS VISHNU FINALS , VIT - AP UNIVERSITY",2024-02-02,4657,177.0,Feb
12,"VIT AP - A VS VISHNU FINALS , VIT - AP UNIVERSITY",2024-02-02,557,6.0,Feb
13,"VIT AP - A VS VISHNU FINALS , VIT - AP UNIVERSITY",2024-02-02,1408,25.0,Feb
14,VIT-AP University Promo Video 2024,2024-02-01,4837,240.0,Feb
15,VIT-AP SCHOOL OF SOCIAL SCIENCES & HUMANTIES|B.A.-M.A.-Public Service|Ph.D.|Integrated coaching-UPSC,2024-01-23,2121,,Jan
16,Sankranthi Celebrations at VIT-AP University,2024-01-13,2358,100.0,Jan
17,VIT-AP University's Generous Gifts to Local Schools| Celebrating Chancellor Sir's 85th Birthday,2023-12-08,1070,,Dec
18,Celebrating the 85th Birthday of Chancellor Dr. G. Viswanathan | VIT-AP University Tribute,2023-12-08,1038,,Dec
19,DDD - Double Decade Dance! LIVE NOW...🔥 #BTHGroove,2023-11-18,5647,143.0,Nov
20,CDC-Training: ATS Aware Resume  Preparation,2023-11-02,2255,166.0,Nov
21,Exploring Diverse Perspectives of Ecocriticism in theAnthropocene,2023-10-21,256,3.0,Oct
22,Exploring Diverse Perspectives of Ecocriticism in theAnthropocene,2023-10-20,103,5.0,Oct
23,Exploring Diverse Perspectives of Ecocriticism in theAnthropocene,2023-10-20,121,9.0,Oct
24,Exploring Diverse Perspectives of Ecocriticism in theAnthropocene,2023-10-19,109,3.0,Oct
25,Exploring Diverse Perspectives of Ecocriticism in the Anthropocene,2023-10-18,175,10.0,Oct
26,Exploring Diverse Perspectives of Ecocriticism in theAnthropocene,2023-10-17,194,15.0,Oct
27,Exploring Diverse Perspectives of Ecocriticism in theAnthropocene:,2023-10-17,248,19.0,Oct
28,"The Way to Prompt Engineering Webinar by Yaswanth Sai Palaghat Session 2 - Innovators Quest,VIT-AP",2023-10-07,376,5.0,Oct
29,"The Way to Prompt Engineering Webinar by Yaswanth Sai Palaghat - Innovators Quest,VIT-AP",2023-10-07,798,32.0,Oct
30,VIT AP University Promo Video 2023,2023-10-03,3480,115.0,Oct
31,Reflecting on the VIT-AP University Journey:Graduates Share their Experience during Convocation 2023,2023-10-02,8749,107.0,Oct
32,The beautiful campus of VIT-AP Unniversity is all set for the big day!! #vitapconvocation2023,2023-09-28,3414,,Sep
33,Day-2 Session 2 of Five - Day Workshop on IoT and Beyond VIT-AP University,2023-09-28,180,3.0,Sep
34,Day-2 Session 1 of Five - Day Workshop on IoT and Beyond VIT-AP University,2023-09-27,199,5.0,Sep
35,Day-1 of Five - Day Workshop on IoT and Beyond VIT-AP University,2023-09-26,306,4.0,Sep
36,3rd ANNUAL CONVOCATION VIT-AP UNIVERSITY 2023,2023-09-23,13613,332.0,Sep
37,"The beats, the blessings, the beginning! A sneak peek into Ganesh Chaturthi   Celebration at VIT-AP",2023-09-19,3621,381.0,Sep
38,Life at VIT-AP: Where learning meets fun!  #VITLife #CampusVibes #CollegeDays,2023-09-18,5516,,Sep
39,VIT -AP University Freshers Orientation-2023,2023-09-08,11133,285.0,Sep
40,VIT-AP Campus Overview,2023-09-08,4968,281.0,Sep
41,VIT-AP University Campus Tour,2023-09-08,5234,341.0,Sep
42,🏀 The Boys of VIT-AP University at the Basketball court,2023-08-27,4968,205.0,Aug
43,"Teamwork, sweat, and a whole lot of game face! Catch us owning the court at VIT-AP University 🏀🔥",2023-08-27,6564,340.0,Aug
44,Triumphant Placements 2023: Embarking on New Horizons,2023-08-24,2484,69.0,Aug
45,77th Independence Day Celebrations.,2023-08-15,1548,40.0,Aug
46,"Bharat Blockchain Yatra 2023 VIT AP UNIVERSITY, Amaravati",2023-08-11,512,10.0,Aug
47,"Bharat Blockchain Yatra 2023 VIT AP UNIVERSITY, Amaravati",2023-08-11,233,8.0,Aug
48,VIT-AP University's Dynamic Classrooms: Where Knowledge Comes to Life.,2023-08-06,3496,,Aug
49,"Join us at Bharat Blockchain Yatra 2023 on August 11th, 2023, at VIT AP University, Amaravati",2023-08-06,2159,40.0,Aug
50,Naadh 2023 || VIT-AP University,2023-07-27,1085,22.0,Jul
51,Experience the magic as VIT-AP University's student Vedansh sweeps you away with his keyboard tunes!,2023-07-27,2253,170.0,Jul
52,Well-equipped Gym of VIT-AP University,2023-07-27,3053,,Jul
53,"Women's ideathon at VIT-AP University. August 4, 2023, CB 207 Register now!!!",2023-07-22,1402,31.0,Jul
54,Three Day workshop on 3D Printing | DAY 3 PART-2 | VITAP,2023-07-15,300,6.0,Jul
55,Three Day workshop on 3D Printing | DAY 3 | VITAP,2023-07-15,138,3.0,Jul
56,Three Day workshop on 3D Printing | DAY 2 | VITAP,2023-07-14,208,9.0,Jul
57,Three Day workshop on 3D Printing | VITAP,2023-07-13,339,12.0,Jul
58,Workshop on Roadmap and Actionplan for EISCs in AP | VITAP,2023-07-13,68,1.0,Jul
59,Weekend vibes @ the vibrant hostel of VIT-AP University. Captivating vocal and keyboard sessions.,2023-07-09,1988,84.0,Jul
60,Exploring the world of knowledge at VIT-AP University's library! Self-issue & self-return system.,2023-06-27,5057,198.0,Jun
61,Introducing Prayana - The Electric Bike crafted by the brilliant minds of VIT-AP University,2023-06-25,3118,101.0,Jun
62,Embracing the refreshing rhythm of raindrops at VITAP #Nature'sSymphony #RainyDayVibes,2023-06-25,3107,229.0,Jun
63,The Social Media Committe of VIT-AP University,2023-06-25,792,26.0,Jun
64,Excitement fills the air.VIT-AP University's fresher students embarks on their 1st journey back home,2023-06-25,5567,166.0,Jun
65,VIT-AP University Students' jamming session at Hostel.,2023-06-25,1637,101.0,Jun
66,Toppers before Exam.,2023-06-25,2609,118.0,Jun
67,Thriving in a VUCA Environment: Crafting Effective Business Strategies,2023-06-21,141,5.0,Jun
68,Three-Day Virtual International Conference on Gender Perspectives and Representations,2023-06-20,743,13.0,Jun
69,Mesmerizing Sand Art of VIT-AP University by Sand Artist Srini,2023-06-15,1492,99.0,Jun
70,Workshop on Roadmap and Actionplan for EISCs in AP | VITAP,2023-06-09,731,21.0,Jun
71,Journey through Time: VIT-AP University's Unforgettable Academic Year 2022-23!,2023-06-09,2219,77.0,Jun
72,VIT-AP UNIVERSITY DAY CELEBRATIONS 2023,2023-06-03,4730,117.0,Jun
73,Staff Development Program on Excel,2023-05-19,208,3.0,May
74,Staff Development Program on Excel,2023-05-18,97,2.0,May
75,Staff Development Program on Excel,2023-05-17,177,6.0,May
76,Staff Development Program on Excel,2023-05-17,41,0.0,May
77,First national moot court competition,2023-04-17,708,25.0,Apr
78,"Day-5, Evening Session:3rd One-Week International Workshop on Technical Writing using LaTeX",2023-04-05,299,7.0,Apr
79,Day-5 Morning Session: 3rd One-Week International Workshop on Technical Writing using LaTeX,2023-04-05,117,2.0,Apr
80,Day-4 Afternoon Session: 3rd One-Week International Workshop on Technical Writing using LaTeX,2023-04-04,137,3.0,Apr
81,Day 4 Morning Session: 3rd One-Week International Workshop on Technical Writing using LaTeX,2023-04-04,192,6.0,Apr
82,Day 3 Paper Writing: 3rd One-Week International Workshop on Technical Writing using LaTeX,2023-04-01,187,6.0,Apr
83,"Day 3, Morning Session: 3rd One-Week International Workshop on Technical Writing using LaTeX",2023-04-01,274,10.0,Apr
84,Academic Bank of Credits (ABC) program || Video 3/4 || VIT-AP University,2023-04-01,1564,14.0,Apr
85,Day-2 Afternoon Session: 3rd One-Week International Workshop on Technical Writing using LaTeX,2023-03-31,203,8.0,Mar
86,"Day-2, morning session: 3rd One-Week International Workshop on Technical Writing using LaTeX",2023-03-31,354,16.0,Mar
87,Academic Bank of Credits (ABC) program || Video 2/4 || VIT-AP University,2023-03-31,497,2.0,Mar
88,Academic Bank of Credits (ABC) program || Video 1/4 || VIT-AP University,2023-03-31,454,10.0,Mar
89,VITOPIA 2023 SPORTS EVENTS|| VIT-AP UNIVERSITY,2023-03-31,1767,24.0,Mar
90,Day 1 Session-2: 3rd One-Week International Workshop on Technical Writing using LaTeX (Online),2023-03-30,454,19.0,Mar
91,Inauguration: 3rd One-Week International Workshop on Technical Writing using LaTeX,2023-03-30,715,23.0,Mar
92,3rd IEEE International Conference on AISP | VIT-AP University | 18TH March,2023-03-18,907,14.0,Mar
93,VITOPIA 2023: Official Aftermovie,2023-03-15,10926,367.0,Mar
94,WOMEN'S DAY CELEBRATION | | VIT-AP University |,2023-03-09,1392,27.0,Mar
95,State Wise Rally | VITOPIA 2023 | VIT-AP University | 4TH March,2023-03-07,6493,171.0,Mar
96,PRO SHOW PART 2 | VITOPIA 2023 | VIT-AP University | 5TH MARCH 2023,2023-03-06,5256,154.0,Mar
97,PRO SHOW | VITOPIA 2023 | VIT-AP University | 5TH MARCH 2023,2023-03-06,8353,155.0,Mar
98,PV SINDHU | VITOPIA 2023 | VIT-AP University | 5TH MARCH 2023,2023-03-05,3934,90.0,Mar
99,PARAVOLLEY | VITOPIA 2023 | VIT-AP University  4TH MARCH 2023,2023-03-04,1186,21.0,Mar
100,VITOPIA 2023 preludes,2023-03-03,3311,132.0,Mar
101,VITOPIA 2023 Food stalls,2023-03-03,2323,51.0,Mar
102,VITOPIA 2023 rehearsals #vitap #culturalfest,2023-03-03,2114,47.0,Mar
103,BAKASURA FOOD CHALLENGE VITOPIA 2023,2023-03-03,1456,17.0,Mar
104,DRONE SHOT VITOPIA 2023,2023-03-03,6881,164.0,Mar
105,Welcome to VITOPIA 2023,2023-03-03,1245,28.0,Mar
106,Flashmob Trendset output VITopia 2023,2023-03-02,4115,88.0,Mar
107,V Rhythm VITopia 2023,2023-03-02,1282,27.0,Mar
108,Twinstrings at VITOPIA 2023,2023-03-02,3002,129.0,Mar
109,Japanese Street VITopia 2023 promo,2023-03-02,463,12.0,Mar
110,National Science Day || VIT-AP University || 28th FEB 2023,2023-02-28,448,9.0,Feb
111,Sandhya Raju at VITOPIA 2023,2023-02-25,1384,25.0,Feb
112,Dance Auditions VITOPIA 2023,2023-02-25,1735,39.0,Feb
113,Sports VITOPIA 2023,2023-02-25,401,11.0,Feb
114,Roadshow VITopia 2023,2023-02-25,3479,63.0,Feb
115,P V SINDHU at VITAP's VITOPIA 2023,2023-02-25,922,18.0,Feb
116,VITOPIA 2023,2023-02-21,1244,26.0,Feb
117,VITOPIA 2023 Inauguration,2023-02-21,5190,206.0,Feb
118,"Welcome message for VITOPIA 2023 by  Dr. S.V.Kota Reddy , Vice Chancellor, VIT AP University",2023-02-21,2079,85.0,Feb
119,"Welcome message by  Chancellor Dr. G.Viswanathan, Founder Chancellor VIT University for VITOPIA 2023",2023-02-21,1723,45.0,Feb
120,Paralympic Volleyball Federation of India (PVFI) president H. Chandrashekar inspires VITians,2023-02-19,254,10.0,Feb
121,5-Day International Workshop on Optimization Techniques in Industrial and Engineering Applications,2023-01-06,328,4.0,Jan
122,2nd International Conference onDigital Transformation for Business Sustainability - VSB - Part 2,2023-01-05,374,5.0,Jan
123,2nd International Conference on Digital Transformation for Business Sustainability - VSB - Part 1,2023-01-05,318,9.0,Jan
124,National Seminar on Ferroelectrics and Dielectrics NSFD - 2022 (Virtual),2022-12-17,508,5.0,Dec
125,Talk by Sergi Sergiev,2022-12-16,321,8.0,Dec
126,V-TAPP closing ceremony || VIT-AP University|| Chief Guest- Sri Kalyan Muppaneni,2022-12-12,605,15.0,Dec
127,VTAPP | Tech Fest,2022-12-12,662,3.0,Dec
128,Session with Ishan Sharma | V-TAPP | Tech Fest| VIT-AP University,2022-12-11,1656,48.0,Dec
129,VTAPP 2022 | DAY 2 | VIT-AP University,2022-12-11,683,5.0,Dec
130,VTAPP 2022 | DAY 2 | VIT-AP University,2022-12-11,1052,23.0,Dec
131,Session with Ishan Sharma | V-TAPP | Tech Fest| VIT-AP University,2022-12-11,592,25.0,Dec
132,VTAPP International Technical Fest | VIT-AP University,2022-12-10,1579,41.0,Dec
133,VTAPP International Technical Fest | VIT-AP University,2022-12-10,957,18.0,Dec
134,VTAPP International Technical Fest | VIT-AP University,2022-12-10,1014,37.0,Dec
135,SMILE IN WHILE || VIT-AP University,2022-12-06,3149,77.0,Dec
136,National level Hackathon 2022 || VIT-AP University ||After Movie,2022-11-24,1067,21.0,Nov
137,ICANA 2022,2022-11-17,495,8.0,Nov
138,Hackthon-VITAP,2022-11-13,1096,25.0,Nov
139,Hackthon-VITAP,2022-11-13,1223,16.0,Nov
140,Patent Publication Process - IIPRD,2022-11-13,220,7.0,Nov
141,Hackthon-VITAP,2022-11-12,1305,33.0,Nov
142,VIT-AP IIC NATIONAL HACKATHON 2022,2022-11-12,570,17.0,Nov
143,Digital Twin and Application Deployment,2022-10-17,703,22.0,Oct
144,2nd Convocation 2022 || Full Official Video || VIT-AP University|| SMC,2022-10-12,7448,176.0,Oct
145,Freshers Orientation  -2022,2022-09-28,4303,78.0,Sep
146,2nd Convocation VIT-AP University || Trailer || Full Video Coming Soon!!,2022-09-28,4010,153.0,Sep
147,Freshers Orientation  -2022,2022-09-27,8255,231.0,Sep
148,VIT-AP University 2 nd Annual Convocation-2022,2022-09-24,19605,461.0,Sep
149,Freshers 'Orientation Programme -2022,2022-09-22,14516,425.0,Sep
