,Title,Date_upload,Views,Likes,Month,Campus
0,VIT School of Mechanical Engineering (SMEC) | LABS | Facilities | Testimonials | B.Tech| VITEEE 2024,19-02-2024,1185,40,Feb,Vellore
1,International Conference -ETITE'24 - Inauguration,13-02-2024,0,4,Feb,Vellore
2,Riviera Expo 2.0 trailer,05-02-2024,5376,121,Feb,Vellore
3,Riviera Expo 1.0,31-01-2024,1266,51,Jan,Vellore
4,75th Republic Day Celebrations,30-01-2024,501,13,Jan,Vellore
5,Vellore Institute of Technology | VIT | A Place to Learn ; A Chance to grow,27-01-2024,6810,154,Jan,Vellore
6,VITAA DAY - 2024,26-01-2024,1479,41,Jan,Vellore
7,Parakram Diwas,23-01-2024,273,13,Jan,Vellore
8,FUND RAISING - VITAA,22-01-2024,332,5,Jan,Vellore
9,Mattu Pongal,16-01-2024,1173,61,Jan,Vellore
10,Sankranti Celebrations at VIT,14-01-2024,885,30,Jan,Vellore
11,Pongal 2024,11-01-2024,2534,96,Jan,Vellore
12,International Relations 2023 Rewind Video,04-01-2024,406,10,Jan,Vellore
13,Countdown to 2024,31-12-2023,840,24,Dec,Vellore
14,VIT Events 2023,30-12-2023,770,18,Dec,Vellore
15,Placement Rewind 2023,29-12-2023,741,19,Dec,Vellore
16,48th All India Sociological Conference 2023 - Inauguration,28-12-2023,2064,62,Dec,Vellore
17,VIT Ranking & Accreditations - 2023,28-12-2023,367,17,Dec,Vellore
18,VITEEE 2024 | B. Tech. Admissions | How to apply | VIT Engineering Entrance Examination 2024,21-12-2023,23768,367,Dec,Vellore
19,Happy Birthday Chancellor Sir,08-12-2023,3927,161,Dec,Vellore
20,DEMO DAY,01-12-2023,735,22,Dec,Vellore
21,Roadshow event for Global BioIndia'23 - VITTBI,15-11-2023,668,17,Nov,Vellore
22,Diwali 2023,11-11-2023,1876,48,Nov,Vellore
23,MBA 2024,08-11-2023,371,17,Nov,Vellore
24,MBA 2024 Applications Open | MBA 2 Years Programme | VIT Business School | MBA 2024-25 Admissions,02-11-2023,747645,1047,Nov,Vellore
25,"VITEEE 2024 Applications Launched | B.Tech 2024-25 Admissions Open | Place to Learn, Chance to grow",02-11-2023,1917,26,Nov,Vellore
26,"Robots performing Ayudha Puja at VIT, Vellore",23-10-2023,3964,71,Oct,Vellore
27,Springer Nature India Bus Tour | VIT,12-10-2023,662,13,Oct,Vellore
28,Happy World Post Day | VIT,09-10-2023,571,16,Oct,Vellore
29,10th National DNA Day,07-10-2023,1052,26,Oct,Vellore
30,VIT MBA 2024-25 Applications Open | MBA Admissions | VIT Business School,06-10-2023,764734,86,Oct,Vellore
31,VITREE 2024 | PhD Admissions Open | VIT,03-10-2023,1309,26,Oct,Vellore
32,Swachh Bharat,30-09-2023,338,16,Sep,Vellore
33,TIMES RANKING 2024,28-09-2023,2563,40,Sep,Vellore
34,Day 3 - graVITas'23,26-09-2023,1169,30,Sep,Vellore
35,SEEM Awards,25-09-2023,568,30,Sep,Vellore
36,Day 2 - graVITas'23,24-09-2023,1289,32,Sep,Vellore
37,RoboWars - graVITas'23,24-09-2023,1178,18,Sep,Vellore
38,gravitas food fun,23-09-2023,815,21,Sep,Vellore
39,graVITas Inauguration - 2023,22-09-2023,2703,79,Sep,Vellore
40,Day 1 Highlights of graVITas'23!,22-09-2023,2063,24,Sep,Vellore
41,Grand Launch of the Prestigious Techno-Management Fest of the Year - graVITas'23,22-09-2023,70081,1590,Sep,Vellore
42,VIT MBA 2024-25 Applications Open | MBA Admissions | VIT Business School,22-09-2023,1536,9,Sep,Vellore
43,Join us for Sow And Seek | graVITas23 |  Tech Fest | Treasure Hunt |  Solai Club,21-09-2023,5106,129,Sep,Vellore
44,Drone Competition | Cutting Edge Technology | GraVITas23 | TechFest,21-09-2023,613,20,Sep,Vellore
45,1 day to go for GraVITas'23,21-09-2023,1578,56,Sep,Vellore
46,Robowars | PremiumEvents | TechFest | graVITas2023 | Unleash Your Genius,20-09-2023,996,15,Sep,Vellore
47,graVITas’23 | graVITas Expo 2.0 | TechFest,19-09-2023,3171,86,Sep,Vellore
48,2 days to go | Gravitas 2023 Count down starts |  Register Now,17-09-2023,38517,110,Sep,Vellore
49,graVITas 2023 - VIT's Annual Techno-management Fest  | Largest Technical Fest | VIT,16-09-2023,83244,2823,Sep,Vellore
50,MBA 2024 | Admissions | Application Open | Apply Now | VITBS | VIT,15-09-2023,328915,147,Sep,Vellore
51,VIT Wishes a Happy Engineer's Day,15-09-2023,650,22,Sep,Vellore
52,"VIT - A Place to Learn, Chance to grow | NIRF, QS World University, Shanghai Rankings",15-09-2023,119765,26,Sep,Vellore
53,VIT’S ASSOCIATION WITH G20,12-09-2023,576,24,Sep,Vellore
54,"Associate Director, Admissions, The George Washington University, talks about collaboration of VIT",11-09-2023,810,25,Sep,Vellore
55,graVITas2023 Expo | Largest Technical Festival | graVITas'23,03-09-2023,2990,72,Sep,Vellore
56,A Development Dialogue in Campuses of Higher Education Institutions,01-09-2023,2243,54,Sep,Vellore
57,"Mr. Sanjeev Jain, Global Head, Wipro Ltd., highlighted the 20+ yrs of the remarkable journey of VIT",23-08-2023,583,6,Aug,Vellore
58,"Students share their wide array of feelings about being part of the ""38th Convocation Ceremony""",20-08-2023,2464,53,Aug,Vellore
59,38th Convocation Ceremony | Class of 2023 | Testimonial | Graduated,20-08-2023,4132,75,Aug,Vellore
60,VIT wishes a future as bright as your potential. Congratulations!,19-08-2023,1902,44,Aug,Vellore
61,38th Annual Convocation,18-08-2023,40536,662,Aug,Vellore
62,77th IndependenceDay | Freedom of India | Amritkaal | Amrit Mahotsav | JaiHind,17-08-2023,869,15,Aug,Vellore
63,77th Independence Day Celebration,15-08-2023,4598,142,Aug,Vellore
64,Last Date to Apply for VIT M.Arch :  18th August 2023 | Only Few Seats Left !,14-08-2023,357007,302,Aug,Vellore
65,12 - Aug - 2023 Fresher's Induction Programme,12-08-2023,5920,94,Aug,Vellore
66,11-Aug- 2023 Fresher's Induction Programme,11-08-2023,7559,142,Aug,Vellore
67,VIT Vellore Under Graduate | Class of 2027 | Fostering diversity,11-08-2023,637,16,Aug,Vellore
68,10-Aug-2023  Fresher's Induction Programme - 2023,10-08-2023,4161,62,Aug,Vellore
69,09-Aug-2023  Fresher's Induction Programme - 2023,09-08-2023,3594,61,Aug,Vellore
70,07-Aug-2023  Freshers Induction Programme - 2023,09-08-2023,3423,60,Aug,Vellore
71,Vice President Dr. G. V. Selvam was announced for receiving the Doctorate from the Hon. President,06-08-2023,2021,37,Aug,Vellore
72,VIT wishes a Happy Friendship Day,06-08-2023,910,31,Aug,Vellore
73,STARS Induction Programme - 2023,04-08-2023,3215,79,Aug,Vellore
74,Parent Testimonial | BArch | Bachelor of Architecture | Class of 2028,04-08-2023,542,7,Aug,Vellore
75,VIT wishing the Indian Mens Hockey Team | Hero Asian Championship Trophy,02-08-2023,481,23,Aug,Vellore
76,VIT wishes World Nature Conservation Day,28-07-2023,559,28,Jul,Vellore
77,The Reunion of 1995 Batch,22-07-2023,3057,46,Jul,Vellore
78,Reunion Meetings For the 1998 Batch,15-07-2023,3943,61,Jul,Vellore
79,Automotive Research Centre | Cutting Edge Technology | Autonomous Ground and Aerial Vehicles,14-07-2023,590,23,Jul,Vellore
80,Automotive Research Centre | Cutting Edge Technology | Autonomous Car with Advanced Sensors,12-07-2023,943,27,Jul,Vellore
81,VIT Business School organised two weeks of Simplified Kundalini Yoga,09-07-2023,987,32,Jul,Vellore
82,Campus Life @ VIT | VIT Vellore | Student Life | Green Campus,24-06-2023,9926,135,Jun,Vellore
83,VIT wishes everyone a happy Olympic Day,23-06-2023,825,21,Jun,Vellore
84,VIT wishes everyone a Happy Music Day!,21-06-2023,1667,58,Jun,Vellore
85,International Day of Yoga | Yoga For Vasudhaiva Kutumbakam | Yoga For Health | Yoga Day 2023,21-06-2023,405,16,Jun,Vellore
86,West Bengal Foundation Day,20-06-2023,846,19,Jun,Vellore
87,Rains in Vellore | VIT Vellore Campus | Student life | Green Campus | Life At VIT,17-06-2023,2564,76,Jun,Vellore
88,Rains in VIT Vellore | Campus Life,09-06-2023,8220,383,Jun,Vellore
89,Happy World Bicycle Day,03-06-2023,1031,25,Jun,Vellore
90,Last Date has been extended to apply for VIT B.Arch Programme,02-06-2023,109710,8,Jun,Vellore
91,Last Date has been Extended to apply for B.Sc. (Hons.) Agriculture 4 Year Programme,02-06-2023,58849,134,Jun,Vellore
92,"Last Date Extended : June 09,2023 | BSc Hospitality and Hotel Administration 2023 Admissions Open.",02-06-2023,78089,70,Jun,Vellore
93,Happy Telangana Formation Day,02-06-2023,631,22,Jun,Vellore
94,STARS DAY 2023,27-05-2023,2539,87,May,Vellore
95,MSc DataScience Program at VIT | Student Testimonials,27-05-2023,2802,26,May,Vellore
96,M.Des Programme,22-05-2023,872,14,May,Vellore
97,MSW 2023 Admissions Open in VIT,20-05-2023,1055,16,May,Vellore
98,B.Sc. (Hons.) Agriculture  2023-24 Applications Open in VIT,19-05-2023,2167,48,May,Vellore
99,Sikkim Day | Sikkim Foundation Day | Happy Sikkim State Day,16-05-2023,751,15,May,Vellore
100,VIT wishes a Happy Mothers Day!,14-05-2023,1770,50,May,Vellore
101,Young children getting trained by VIT instructors,13-05-2023,806,19,May,Vellore
102,2023-24 Applications Open for B.Sc. (Hons.) Agriculture 4 Years Programme,10-05-2023,620,18,May,Vellore
103,Inauguration - International Conference ViTECoN2023,05-05-2023,3368,60,May,Vellore
104,CBSE board Teachers shared their heartfelt views about VIT,05-05-2023,1284,33,May,Vellore
105,2023-24 Applications Open for BCA Programme,03-05-2023,4024,75,May,Vellore
106,International Dance Day,29-04-2023,685,18,Apr,Vellore
